Country,Other_names,ISO_3166-1_alpha-3_CODE,Population,Continent,Total_Cases,Total_Deaths,Tot Cases_1M_pop,Tot Deaths/1M_pop,Death_percentage,Cases_Per_100K,Deaths_Per_100K,Recovery_Rate,Case_Fatality_Rate,Cluster
Gibraltar,Gibraltar,GIB,33673,Europe,16979,101,504232,2999,0.594852465,50423.18771716212,299.94357497104505,99.405147535,0.5948524648094705,1
Greece,Greece,GRC,10333930,Europe,3077711,27684,297826,2679,0.899499661,29782.580296169996,267.8942086892402,99.100500339,0.8994996606244057,1
Greenland,Greenland,GRL,56942,Northern America,11971,21,210231,369,0.175423941,21023.14635945348,36.87963190615012,99.824576059,0.1754239411912121,1
Grenada,Grenada,GRD,113436,Latin America and the Caribbean,14024,218,123629,1922,1.554478038,12362.918297542226,192.17884974787546,98.445521962,1.5544780376497433,2
Guadeloupe,Guadeloupe,GLP,400244,Latin America and the Caribbean,130705,843,326563,2106,0.64496385,32656.329638920255,210.62152087226792,99.35503615,0.6449638498909759,1
Guatemala,Guatemala,GTM,18495493,Latin America and the Caribbean,830745,17325,44916,937,2.085477493,4491.607766281223,93.6714690438368,97.914522507,2.0854774930935482,0
Guinea,Guinea,GIN,13755881,Africa,36459,440,2650,32,1.206835075,265.0430023347832,3.198631916051033,98.793164925,1.2068350750157713,0
Guinea-Bissau,Guinea-Bissau,GNB,2049374,Africa,8151,170,3977,83,2.085633665,397.7312096279157,8.295216002545168,97.914366335,2.085633664581033,0
Guyana,Guyana,GUY,793196,Latin America and the Caribbean,63272,1226,79768,1546,1.93766595,7976.843050141453,154.56457168215672,98.06233405,1.9376659501833353,0
Haiti,Haiti,HTI,11645833,Latin America and the Caribbean,30549,833,2623,72,2.726766834,262.31700214145263,7.1527730133172955,97.273233166,2.726766833611575,0
Honduras,Honduras,HND,10180299,Latin America and the Caribbean,421062,10880,41360,1069,2.583942507,4136.047477583909,106.87308889454033,97.416057493,2.583942507279213,0
Hong Kong,"China, Hong Kong Special Administrative Region",HKG,7603455,Asia,1171422,8172,154064,1075,0.69761367,15406.443518111173,107.47745597231786,99.30238633,0.6976136695400975,0
Hungary,Hungary,HUN,9617409,Europe,1854198,45510,192796,4732,2.454430433,19279.6001501028,473.2043734440326,97.545569567,2.454430432995829,2
Iceland,Iceland,ISL,345120,Europe,181830,101,526860,293,0.055546389,52686.02225312935,29.265183124710244,99.944453611,0.055546389484683496,1
India,India,IND,1403754381,Asia,43029044,521388,30653,371,1.211711792,3065.282971323457,37.14239521222908,98.788288208,1.2117117916912121,0
Indonesia,Indonesia,IDN,278586508,Asia,6019981,155288,21609,557,2.579543025,2160.9018481253943,55.74139290334907,97.420456975,2.5795430251357936,0
